t,rss,heapTotal,heapUsed,external,arrayBuffers
1855722.194104,63639552,16736256,11885872,2305757,74627
1856723.570744,63639552,16736256,11946952,2305917,74787
1857725.292272,63639552,16736256,12008112,2306077,74947
1858726.185751,63770624,16736256,12069128,2306237,75107
1859727.336284,63770624,16736256,12130288,2306397,75267
1860729.327411,63901696,16736256,12191352,2306557,75427
1861731.351363,63901696,16736256,12252512,2306717,75587
1862733.126814,64032768,16736256,12313528,2306877,75747
1863734.47246,64032768,16736256,12374688,2307037,75907
1864736.580372,64163840,16736256,12435704,2307197,76067
1865737.901983,64163840,16736256,12496912,2307357,76227
1866739.555406,63467520,16736256,11849544,2305435,74305
1867740.309702,63467520,16736256,11910200,2305583,74453
1868742.163749,63598592,16736256,11965920,2305739,74609
1869742.883643,63598592,16736256,12027112,2305899,74769
1870744.008991,63729664,16736256,12088128,2306059,74929
1871745.290765,63729664,16736256,12149288,2306219,75089
1872746.777928,63860736,16736256,12365680,2306379,75249
1873748.167341,63860736,16736256,12426888,2306539,75409
1874749.511705,63860736,16736256,12487904,2306699,75569
1875751.218637,63991808,16736256,12549064,2306859,75729
1876751.699724,63991808,16736256,12610080,2307019,75889
1877752.650849,64122880,16736256,12671240,2307179,76049
1878754.20341,64122880,16736256,12732272,2307339,76209
1879755.469402,63471616,16736256,12004376,2305417,74287
1880756.511085,63471616,16736256,12065392,2305577,74447
1881757.446412,63602688,16736256,12120864,2305721,74591
1882758.965807,63602688,16736256,12181888,2305881,74751
1883760.053969,63733760,16736256,12243048,2306041,74911
1884761.04084,63733760,16736256,12304064,2306201,75071
1885762.259473,63864832,16736256,12365224,2306361,75231
1886763.517898,63864832,16736256,12426240,2306521,75391
1887765.119293,63995904,16736256,12487448,2306681,75551
1888766.128641,63995904,16736256,12548464,2306841,75711
1889767.214307,64126976,16736256,12609624,2307001,75871
1890767.734384,64126976,16736256,12670640,2307161,76031
1891768.84986,64258048,16736256,12731832,2307321,76191
1892769.778134,63434752,16736256,12146648,2305373,74243
1893771.211788,63565824,16736256,12207808,2305533,74403
1894771.939629,63565824,16736256,12262984,2305677,74547
1895772.7412,63696896,16736256,12324032,2305837,74707
1896774.700601,63696896,16736256,12385064,2305997,74867
1897776.722523,63827968,16736256,12446224,2306157,75027
